,AlphaFold3 Ranking Score,ml pipeline error
0,0.46,3.260028390659966
1,0.54,1.6937920654215421
2,0.67,0.6303496308158394
3,0.57,0.26717172840301373
4,0.53,1.7604224834232118
5,0.43,4.015939201101448
6,0.51,0.6303496308158394
7,0.53,0.47220807629623707
8,0.47,3.7089871250935422
